kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.017,0.655,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.997,0.882,0.885,District,district,SAC_DB2Value
1 - load_factor,0.991,0.849,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.988,0.142,0.144,District,district,SAC_DB2Value
average_daily_peak,1.028,11.079,10.782,District,district,SAC_DB2Value
carbon_emissions,1.052,3574.28,3412.055,District,district,SAC_DB2Value
cost,1.048,3831.23,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.053,7004.241,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.05,39321.058,37460.062,District,district,SAC_DB2Value
ramping,1.047,22588.891,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.053,4769.327,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.052,2452.852,2332.712,Building_3,building,SAC_DB2Value
cost,1.042,2692.159,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.992,0.172,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.063,6007.529,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.062,3061.387,2881.739,Building_5,building,SAC_DB2Value
cost,1.06,3254.817,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.956,0.117,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.085,6011.219,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.085,3048.477,2810.394,Building_7,building,SAC_DB2Value
cost,1.083,3183.31,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.94,0.203,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.068,6406.552,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.068,3273.198,3064.868,Building_8,building,SAC_DB2Value
cost,1.064,3506.215,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,1.045,0.157,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.017,7762.791,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.016,3964.064,3901.761,Building_11,building,SAC_DB2Value
cost,1.012,4258.008,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.955,0.073,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.03,11068.03,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.03,5645.704,5480.857,Building_17,building,SAC_DB2Value
cost,1.029,6092.871,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.042,0.132,0.127,Building_17,building,SAC_DB2Value
