kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3867.753,3653.428,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39925.815,37461.364,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3269.959,3057.456,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3184.759,2926.063,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3497.941,3282.401,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4356.982,4187.857,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6089.315,5892.977,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.0,0.645,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,SAC_DB2Value
1 - load_factor,1.0,0.857,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.144,0.144,District,district,SAC_DB2Value
average_daily_peak,1.0,10.782,10.782,District,district,SAC_DB2Value
carbon_emissions,1.0,3412.448,3412.055,District,district,SAC_DB2Value
cost,1.0,3653.894,3653.428,District,district,SAC_DB2Value
electricity_consumption,1.0,6683.919,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.0,37465.742,37461.364,District,district,SAC_DB2Value
ramping,1.001,21596.121,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.001,4532.799,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.001,2335.065,2332.712,Building_3,building,SAC_DB2Value
cost,1.001,2576.61,2573.812,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,1.001,0.173,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.0,5652.286,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.0,2881.739,2881.739,Building_5,building,SAC_DB2Value
cost,1.0,3057.456,3057.456,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.122,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.0,5540.207,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.0,2810.394,2810.394,Building_7,building,SAC_DB2Value
cost,1.0,2926.063,2926.063,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.216,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.0,5997.7,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.0,3064.868,3064.868,Building_8,building,SAC_DB2Value
cost,1.0,3282.401,3282.401,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.151,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.0,7635.149,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.0,3901.761,3901.761,Building_11,building,SAC_DB2Value
cost,1.0,4187.857,4187.857,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.076,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.0,10745.375,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.0,5480.857,5480.857,Building_17,building,SAC_DB2Value
cost,1.0,5892.977,5892.977,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.127,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.988,0.637,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.977,0.865,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.978,0.838,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.758,0.109,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.912,9.829,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.945,3230.532,3412.055,District,district,SAC_DB2Value Best
cost,0.942,3449.01,3653.428,District,district,SAC_DB2Value Best
electricity_consumption,0.945,6326.899,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.941,35232.696,37461.364,District,district,SAC_DB2Value Best
ramping,0.991,21382.153,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.894,4049.98,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.895,2088.922,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.897,2309.255,2573.812,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.747,0.129,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.946,5348.92,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.947,2727.568,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.945,2887.914,3057.456,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.741,0.09,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.982,5439.402,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.98,2755.231,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.971,2841.004,2926.063,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.753,0.163,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.944,5663.496,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.945,2895.231,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.942,3092.627,3282.401,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.781,0.118,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.953,7273.282,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.953,3718.757,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.952,3985.162,4187.857,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.788,0.06,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.948,10186.314,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.948,5197.484,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.947,5578.096,5892.977,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.738,0.093,0.127,Building_17,building,SAC_DB2Value Best
