kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.005,0.648,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.99,0.877,0.885,District,district,SAC_DB2Value
1 - load_factor,0.977,0.837,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.861,0.124,0.144,District,district,SAC_DB2Value
average_daily_peak,0.933,10.061,10.782,District,district,SAC_DB2Value
carbon_emissions,0.974,3344.154,3412.055,District,district,SAC_DB2Value
cost,0.97,3578.802,3670.012,District,district,SAC_DB2Value
electricity_consumption,0.975,6553.618,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,0.977,36607.723,37460.062,District,district,SAC_DB2Value
ramping,0.978,21115.246,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.959,4343.647,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.958,2235.764,2332.712,Building_3,building,SAC_DB2Value
cost,0.953,2463.271,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.832,0.144,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,0.971,5489.996,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,0.972,2800.188,2881.739,Building_5,building,SAC_DB2Value
cost,0.972,2985.789,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.862,0.105,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,0.978,5417.832,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,0.977,2746.488,2810.394,Building_7,building,SAC_DB2Value
cost,0.973,2861.761,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.848,0.183,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.957,5738.669,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.957,2932.483,3064.868,Building_8,building,SAC_DB2Value
cost,0.954,3143.334,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.856,0.129,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.959,7318.338,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.959,3740.531,3901.761,Building_11,building,SAC_DB2Value
cost,0.958,4029.335,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.793,0.06,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.025,11013.225,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.023,5609.468,5480.857,Building_17,building,SAC_DB2Value
cost,1.012,5989.323,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.975,0.123,0.127,Building_17,building,SAC_DB2Value
