kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.018,0.656,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.995,0.881,0.885,District,district,SAC_DB2Value
1 - load_factor,0.98,0.84,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.898,0.132,0.144,District,district,SAC_DB2Value
average_daily_peak,0.962,10.376,10.782,District,district,SAC_DB2Value
carbon_emissions,1.024,3499.733,3412.055,District,district,SAC_DB2Value
cost,1.02,3746.92,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.025,6857.445,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.025,38388.561,37460.062,District,district,SAC_DB2Value
ramping,1.046,22576.369,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.981,4440.144,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.981,2287.807,2332.712,Building_3,building,SAC_DB2Value
cost,0.981,2534.747,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.917,0.159,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.041,5883.928,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.041,2999.758,2881.739,Building_5,building,SAC_DB2Value
cost,1.041,3196.761,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.809,0.099,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.049,5813.583,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.049,2947.388,2810.394,Building_7,building,SAC_DB2Value
cost,1.044,3070.527,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.929,0.201,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.045,6270.238,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.046,3204.361,3064.868,Building_8,building,SAC_DB2Value
cost,1.041,3431.556,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.979,0.148,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.992,7577.779,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.991,3867.261,3901.761,Building_11,building,SAC_DB2Value
cost,0.984,4140.639,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.764,0.058,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.038,11158.997,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.038,5691.826,5480.857,Building_17,building,SAC_DB2Value
cost,1.032,6107.29,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.987,0.125,0.127,Building_17,building,SAC_DB2Value
