kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.018,0.602,0.591,District,district,RBC
1 - average_daily_renewable_share_grid,1.014,0.78,0.769,District,district,RBC
1 - load_factor,0.989,0.841,0.85,District,district,RBC
1 - used_pv_of_total_share,1.154,0.17,0.147,District,district,RBC
average_daily_peak,0.986,12.936,13.114,District,district,RBC
cost,1.062,4127.542,3910.586,District,district,RBC
electricity_consumption,1.064,7531.981,7121.809,District,district,RBC
ramping,1.029,25964.437,25222.986,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.044,10183.434,9753.527,Building_10,building,RBC
cost,1.042,5580.525,5354.033,Building_10,building,RBC
1 - used_pv_of_total_share,1.151,0.191,0.166,Building_10,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.001,0.592,0.591,District,district,SAC
1 - average_daily_renewable_share_grid,0.991,0.762,0.769,District,district,SAC
1 - load_factor,0.987,0.839,0.85,District,district,SAC
1 - used_pv_of_total_share,0.874,0.13,0.147,District,district,SAC
average_daily_peak,0.929,12.182,13.114,District,district,SAC
cost,0.978,3815.852,3910.586,District,district,SAC
electricity_consumption,0.981,6982.897,7121.809,District,district,SAC
ramping,0.967,24398.485,25222.986,District,district,SAC
electricity_consumption,0.984,4453.779,4528.42,Building_3,building,SAC
cost,0.983,2540.811,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.956,0.166,0.173,Building_3,building,SAC
electricity_consumption,0.999,5644.631,5652.286,Building_5,building,SAC
cost,0.996,3059.121,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.941,0.115,0.122,Building_5,building,SAC
electricity_consumption,1.001,5543.601,5540.207,Building_7,building,SAC
cost,0.999,2935.526,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.899,0.195,0.216,Building_7,building,SAC
electricity_consumption,0.964,5784.131,5997.7,Building_8,building,SAC
cost,0.96,3165.554,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.85,0.128,0.151,Building_8,building,SAC
electricity_consumption,0.973,9492.635,9753.527,Building_10,building,SAC
