kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.004,0.647,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.997,0.882,0.885,District,district,MARLISA
1 - load_factor,0.991,0.85,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.953,0.138,0.144,District,district,MARLISA
average_daily_peak,0.974,10.499,10.782,District,district,MARLISA
carbon_emissions,0.992,3383.154,3412.055,District,district,MARLISA
cost,0.992,3637.74,3670.012,District,district,MARLISA
electricity_consumption,0.992,6626.577,6683.189,District,district,MARLISA
fossil_energy_consumption,0.99,37090.844,37460.062,District,district,MARLISA
ramping,0.993,21426.764,21583.846,District,district,MARLISA
electricity_consumption,0.986,4464.233,4528.42,Building_3,building,MARLISA
carbon_emissions,0.986,2300.562,2332.712,Building_3,building,MARLISA
cost,0.987,2551.787,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.968,0.168,0.173,Building_3,building,MARLISA
electricity_consumption,1.0,5651.881,5652.286,Building_5,building,MARLISA
carbon_emissions,1.0,2881.526,2881.739,Building_5,building,MARLISA
cost,1.0,3071.407,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.999,0.122,0.122,Building_5,building,MARLISA
electricity_consumption,0.992,5496.667,5540.207,Building_7,building,MARLISA
carbon_emissions,0.992,2788.665,2810.394,Building_7,building,MARLISA
cost,0.993,2920.067,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.959,0.208,0.216,Building_7,building,MARLISA
electricity_consumption,0.999,5989.531,5997.7,Building_8,building,MARLISA
carbon_emissions,0.999,3060.856,3064.868,Building_8,building,MARLISA
cost,0.999,3292.746,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.997,0.15,0.151,Building_8,building,MARLISA
electricity_consumption,0.993,7580.466,7635.149,Building_11,building,MARLISA
carbon_emissions,0.993,3874.884,3901.761,Building_11,building,MARLISA
cost,0.994,4181.1,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.972,0.074,0.076,Building_11,building,MARLISA
electricity_consumption,0.984,10576.683,10745.375,Building_17,building,MARLISA
carbon_emissions,0.984,5392.429,5480.857,Building_17,building,MARLISA
cost,0.981,5809.33,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.823,0.104,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.999,0.644,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.999,0.884,0.885,District,district,MARLISA Best
1 - load_factor,1.0,0.857,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.992,0.143,0.144,District,district,MARLISA Best
average_daily_peak,0.995,10.727,10.782,District,district,MARLISA Best
carbon_emissions,0.997,3401.53,3412.055,District,district,MARLISA Best
cost,0.997,3659.773,3670.012,District,district,MARLISA Best
electricity_consumption,0.997,6661.833,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.997,37329.496,37460.062,District,district,MARLISA Best
ramping,0.993,21438.752,21583.846,District,district,MARLISA Best
electricity_consumption,0.991,4485.43,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.991,2311.455,2332.712,Building_3,building,MARLISA Best
cost,0.992,2563.608,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.988,0.171,0.173,Building_3,building,MARLISA Best
electricity_consumption,1.0,5652.286,5652.286,Building_5,building,MARLISA Best
carbon_emissions,1.0,2881.739,2881.739,Building_5,building,MARLISA Best
cost,1.0,3071.658,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.122,0.122,Building_5,building,MARLISA Best
electricity_consumption,1.0,5540.207,5540.207,Building_7,building,MARLISA Best
carbon_emissions,1.0,2810.394,2810.394,Building_7,building,MARLISA Best
cost,1.0,2939.918,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.216,0.216,Building_7,building,MARLISA Best
electricity_consumption,1.0,5997.7,5997.7,Building_8,building,MARLISA Best
carbon_emissions,1.0,3064.868,3064.868,Building_8,building,MARLISA Best
cost,1.0,3296.626,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.151,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.989,7550.003,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.989,3859.863,3901.761,Building_11,building,MARLISA Best
cost,0.99,4166.086,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.963,0.073,0.076,Building_11,building,MARLISA Best
electricity_consumption,1.0,10745.375,10745.375,Building_17,building,MARLISA Best
carbon_emissions,1.0,5480.857,5480.857,Building_17,building,MARLISA Best
cost,1.0,5920.74,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.127,0.127,Building_17,building,MARLISA Best
