kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,0.991,0.604,0.609,District,district,RBC
1 - average_daily_renewable_share_grid,0.997,0.834,0.837,District,district,RBC
1 - load_factor,0.994,0.817,0.822,District,district,RBC
1 - used_pv_of_total_share,1.141,0.102,0.089,District,district,RBC
average_daily_peak,1.027,14.233,13.855,District,district,RBC
carbon_emissions,1.045,4612.668,4441.262,District,district,RBC
cost,1.042,4963.961,4788.36,District,district,RBC
electricity_consumption,1.045,9010.842,8675.588,District,district,RBC
fossil_energy_consumption,1.045,48909.457,46808.726,District,district,RBC
ramping,1.042,24966.283,23953.231,District,district,RBC
electricity_consumption,1.036,9191.888,8875.826,Building_1,building,RBC
carbon_emissions,1.036,4705.482,4543.748,Building_1,building,RBC
cost,1.034,5064.691,4898.839,Building_1,building,RBC
1 - used_pv_of_total_share,1.138,0.083,0.073,Building_1,building,RBC
electricity_consumption,1.025,11529.144,11251.981,Building_2,building,RBC
carbon_emissions,1.025,5893.983,5752.045,Building_2,building,RBC
cost,1.024,6313.481,6168.277,Building_2,building,RBC
1 - used_pv_of_total_share,1.119,0.059,0.052,Building_2,building,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.038,9353.793,9011.076,Building_4,building,RBC
carbon_emissions,1.038,4784.334,4608.855,Building_4,building,RBC
cost,1.037,5133.4,4952.507,Building_4,building,RBC
1 - used_pv_of_total_share,1.113,0.099,0.089,Building_4,building,RBC
electricity_consumption,1.026,11082.346,10799.294,Building_5,building,RBC
carbon_emissions,1.026,5666.791,5521.843,Building_5,building,RBC
cost,1.025,6074.802,5926.409,Building_5,building,RBC
1 - used_pv_of_total_share,1.122,0.062,0.056,Building_5,building,RBC
electricity_consumption,1.045,7929.478,7586.928,Building_6,building,RBC
carbon_emissions,1.045,4063.501,3888.366,Building_6,building,RBC
cost,1.043,4389.833,4210.316,Building_6,building,RBC
1 - used_pv_of_total_share,1.152,0.103,0.089,Building_6,building,RBC
1 - average_daily_renewable_share,0.991,0.603,0.609,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.956,0.801,0.837,District,district,SAC_DB2Value
1 - load_factor,1.007,0.828,0.822,District,district,SAC_DB2Value
1 - used_pv_of_total_share,1.355,0.11,0.089,District,district,SAC_DB2Value
average_daily_peak,1.075,14.897,13.855,District,district,SAC_DB2Value
carbon_emissions,1.013,4477.775,4441.262,District,district,SAC_DB2Value
cost,1.011,4828.432,4788.36,District,district,SAC_DB2Value
electricity_consumption,1.013,8742.412,8675.588,District,district,SAC_DB2Value
fossil_energy_consumption,1.0,46826.77,46808.726,District,district,SAC_DB2Value
ramping,1.118,26789.77,23953.231,District,district,SAC_DB2Value
electricity_consumption,1.013,8986.965,8875.826,Building_1,building,SAC_DB2Value
carbon_emissions,1.013,4602.492,4543.748,Building_1,building,SAC_DB2Value
cost,1.012,4959.477,4898.839,Building_1,building,SAC_DB2Value
1 - used_pv_of_total_share,1.572,0.115,0.073,Building_1,building,SAC_DB2Value
electricity_consumption,1.001,11262.699,11251.981,Building_2,building,SAC_DB2Value
carbon_emissions,1.002,5764.802,5752.045,Building_2,building,SAC_DB2Value
cost,1.006,6203.594,6168.277,Building_2,building,SAC_DB2Value
1 - used_pv_of_total_share,1.586,0.083,0.052,Building_2,building,SAC_DB2Value
electricity_consumption,1.059,4797.283,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.056,2462.783,2332.712,Building_3,building,SAC_DB2Value
cost,1.039,2674.766,2573.812,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.787,0.136,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,0.998,8996.398,9011.076,Building_4,building,SAC_DB2Value
carbon_emissions,1.0,4607.421,4608.855,Building_4,building,SAC_DB2Value
cost,1.002,4964.653,4952.507,Building_4,building,SAC_DB2Value
1 - used_pv_of_total_share,1.384,0.123,0.089,Building_4,building,SAC_DB2Value
electricity_consumption,0.992,10715.875,10799.294,Building_5,building,SAC_DB2Value
carbon_emissions,0.993,5484.08,5521.843,Building_5,building,SAC_DB2Value
cost,0.996,5901.919,5926.409,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,1.432,0.08,0.056,Building_5,building,SAC_DB2Value
electricity_consumption,1.014,7695.254,7586.928,Building_6,building,SAC_DB2Value
